iter	MAE
0	0.9683756344
5	0.9289712483
10	0.8904168954
15	0.8530320667
20	0.8164697029
25	0.781278747
30	0.7471695027
35	0.7142640301
40	0.6824516632
45	0.6518318049
50	0.6221129255
55	0.5938368958
60	0.566783104
65	0.5405488631
70	0.5157977438
75	0.4919949149
80	0.4694925103
85	0.4478519259
90	0.4273065099
95	0.4082367832
100	0.390059097
105	0.372888963
110	0.3569802585
115	0.3419713541
120	0.3277709668
125	0.3143820106
130	0.3020393725
135	0.2905407432
140	0.2799241355
145	0.2702371227
150	0.2612006986
155	0.2526891689
160	0.2448804669
165	0.2376437087
170	0.2310666578
175	0.2249788621
180	0.2193917977
185	0.2141287261
190	0.2093743583
195	0.2049787875
200	0.200835293
205	0.1971337752
210	0.1938140881
215	0.1906688146
220	0.187896417
225	0.1851671398
230	0.1828317749
235	0.1803589614
240	0.1782083073
245	0.1762913289
250	0.1745455718
255	0.1726374008
260	0.1710893201
265	0.169439479
270	0.1680345112
275	0.1666885925
280	0.1651519059
285	0.1636957632
290	0.1623855981
295	0.1613173269
300	0.1600599247
305	0.1588674324
310	0.1573574955
315	0.1559189022
320	0.1550842738
325	0.1539981421
330	0.1524722601
335	0.151027446
340	0.1499091949
345	0.1488007499
350	0.1478406236
355	0.146960059
360	0.1460858953
365	0.145293749
370	0.1443711771
375	0.1436173382
380	0.1428834717
385	0.1423481491
390	0.1415907251
395	0.1406518316
400	0.1397412431
405	0.1390508571
410	0.1384086175
415	0.1376595097
420	0.136899229
425	0.1362635867
430	0.1357656877
435	0.1352000302
440	0.1346282747
445	0.1341088481
450	0.1336033694
455	0.1331725658
460	0.1326279529
465	0.1321619113
470	0.1317790738
475	0.1313699941
480	0.1309534984
485	0.1304761692
490	0.1300179364
495	0.129552435
500	0.1291353337
505	0.1287402018
510	0.1283774676
515	0.1280766229
520	0.1277922553
525	0.1274688763
530	0.1271465123
535	0.1268087762
540	0.1265176148
545	0.1261787327
550	0.1258674107
555	0.1256032446
560	0.1253835578
565	0.1251041751
570	0.1247908804
575	0.1245464902
580	0.124280425
585	0.1240210801
590	0.1237856855
595	0.1235263979
600	0.1232664882
605	0.1230295875
610	0.12283999
615	0.1226190754
620	0.1223764368
625	0.1221697892
630	0.1219340263
635	0.1217177527
640	0.1214894794
645	0.1212763244
650	0.1210798431
655	0.1208982509
660	0.1206893769
665	0.120457191
670	0.1202760981
675	0.1200659881
680	0.1198576134
685	0.119678354
690	0.119493635
695	0.1193043895
700	0.1191319731
705	0.1189740611
710	0.118795432
715	0.1186067922
720	0.1184454179
725	0.1182760055
730	0.1181278668
735	0.1179908767
740	0.1178376549
745	0.1177031858
750	0.1175663675
755	0.1174142263
760	0.1172848157
765	0.1171456646
770	0.1170060142
775	0.1168554282
780	0.1167155322
785	0.116569579
